sample_size,bootstrap_iteration,best_model_index,best_is_true_model,best_val_mse,true_model_val_mse,true_model_rank,rashomon_size_1pct,true_in_rashomon_1pct,rashomon_size_5pct,true_in_rashomon_5pct
100,18,7463,False,9.447698321097745,9.61029113045417,1126,420,False,5778,True
100,19,4869,False,9.446519842683905,9.980804330751363,9453,472,False,7853,False
100,20,15460,False,9.484579632707348,9.803543170543016,3925,143,False,7366,True
100,21,15075,False,9.960075213719023,10.100419490463581,1808,671,False,13195,True
100,22,7265,False,9.441407299298067,9.644766730248822,1556,255,False,9308,True
100,23,6081,False,9.471596693894421,9.957251674562297,7962,69,False,7578,False
100,24,1901,False,9.794173712100388,10.070393596437937,5512,477,False,12800,True
100,25,10548,False,9.461812705567812,10.208822977135897,12639,119,False,7763,False
100,26,2775,False,9.357700166697636,9.797351728893762,3611,89,False,4098,True
100,27,3354,False,9.414288014343384,9.597340103751375,492,105,False,5789,True
100,28,10500,False,9.52388445626917,9.754223457146702,1575,216,False,8142,True
100,29,9404,False,9.589183761986742,10.026454003799145,7131,129,False,8442,True
200,0,10614,False,9.325106991736014,9.46987472243578,831,237,False,12698,True
200,1,10617,False,9.358424284012354,9.416459275374555,77,253,True,9609,True
200,2,14656,False,9.457733742322201,9.486054761782723,27,470,True,14029,True
200,3,14692,False,9.430929391984089,9.448919239977847,9,561,True,12989,True
200,4,14691,False,9.382995850620278,9.551505657397554,1386,314,False,10246,True
200,5,11264,False,9.35539002898095,9.360569231210514,6,333,True,13914,True
200,6,3695,False,9.571210338492735,9.801935119818065,5457,634,False,14986,True
200,7,14692,False,9.32321963385873,9.388270565057097,88,191,True,13299,True
200,8,4889,False,9.415969784290933,9.43955584247932,63,1870,True,15331,True
200,9,14656,False,9.478745295762971,9.513242671250474,28,341,True,15460,True
200,10,12983,False,9.332077981494244,9.34911541554443,14,460,True,11235,True
200,11,10614,False,9.292916818014778,9.317435745156422,29,493,True,13025,True
200,12,12985,False,9.389128158728228,9.427376672772137,37,336,True,11553,True
200,13,15365,False,9.450795425957404,9.85042090580233,4434,313,False,5459,True
200,14,10113,False,9.306265909496869,9.47620974685526,1368,232,False,14577,True
200,15,7469,False,9.388600190057392,9.434992763136059,136,723,True,14785,True
200,16,12826,False,9.364007095796165,9.364069562180504,2,155,True,10617,True
200,17,10619,False,9.390868887344837,9.42347993287657,138,921,True,12906,True
200,18,12547,False,9.486632929629831,9.660484270775903,3888,1376,False,15254,True
200,19,10118,False,9.374755078220383,9.724599808284049,9177,484,False,13136,True
200,20,8749,False,9.402256994853,9.47057273520021,204,511,True,15282,True
200,21,6420,False,9.403393246597966,9.433384034038184,36,331,True,14357,True
200,22,10620,False,9.376949484059905,9.389828515797609,11,692,True,14475,True
200,23,7269,False,9.36727903782966,9.608420962962322,1855,139,False,9988,True
